serial,epoch,batchsize,filter,first_conv_kernel,second_conv_kernel,output_height,output_width,dense_layer,max_core,driver_core,executor_cores,task_cpus,executor_instances,driver_memory,executor_memory,memory_fraction,storage_fraction,parallelism,dataLoadingTime,dataShuffleTime,forwardTime,backwardTime,lossTime,ComputeTime,GetWeightTime,PutGradientTime,AggregateGradTime,dataValidationTime,Just random string,first_conv_flops,first_pool,first_relu,second_conv_flops,second_pool,second_relu,dense_layer_1,dense_layer_2,total_flops_per_epoch
111,1,500,5,4,4,4,4,100,1,1,1,1,1,1g,4g,1,0,1,783408415,22236494,48611511,55607621,803855,105428504,8110090,1031084,0,1320862809,InstrumentationResult,163072,2304,2304,116352,576,576,13000,2020,150102000
112,1,500,5,4,4,4,4,200,1,1,1,1,1,1g,4g,1,0,1,801104420,23162484,52192376,58117686,853674,111605829,8769161,1101406,0,1367706802,InstrumentationResult,163072,2304,2304,116352,576,576,26000,4020,157602000
114,1,500,5,4,4,4,4,400,1,1,1,1,1,1g,4g,1,0,1,824880366,22782630,54656954,61081670,675220,116870283,8078154,1210385,0,1471549037,InstrumentationResult,163072,2304,2304,116352,576,576,52000,8020,172602000
115,1,500,5,4,4,4,4,500,1,1,1,1,1,1g,4g,1,0,1,780536175,19307673,50921678,58700653,799064,110825207,7955054,1166332,0,1378611155,InstrumentationResult,163072,2304,2304,116352,576,576,65000,10020,180102000
116,1,500,5,4,8,4,4,100,1,1,1,1,1,1g,4g,1,0,1,757632543,25501398,50851884,59309981,822366,111382711,7937419,1219613,0,1378671354,InstrumentationResult,163072,2304,2304,232704,1152,1152,25800,2020,215254000
118,1,500,5,4,8,4,4,300,1,1,1,1,1,1g,4g,1,0,1,787408122,19455206,54270262,63260109,791442,118720065,6955334,5112776,0,1443251171,InstrumentationResult,163072,2304,2304,232704,1152,1152,77400,6020,243054000
119,1,500,5,4,8,4,4,400,1,1,1,1,1,1g,4g,1,0,1,747362420,22734045,55755666,64848231,789009,121786766,7916704,1135529,0,1483390933,InstrumentationResult,163072,2304,2304,232704,1152,1152,103200,8020,256954000
120,1,500,5,4,8,4,4,500,1,1,1,1,1,1g,4g,1,0,1,797654150,23012721,60395780,68649767,686834,130197157,7322317,1300513,0,1559965473,InstrumentationResult,163072,2304,2304,232704,1152,1152,129000,10020,270854000
121,1,500,5,8,8,4,4,100,1,1,1,1,1,1g,4g,1,0,1,795950228,20397023,58911680,67200985,850649,127369011,8087376,1211357,0,1518759090,InstrumentationResult,326144,4608,4608,463104,1152,1152,25800,2020,414294000
122,1,500,5,8,8,4,4,200,1,1,1,1,1,1g,4g,1,0,1,747916007,24348478,88931872,98013755,785041,188138557,7988282,1078641,0,2151857869,InstrumentationResult,326144,4608,4608,463104,1152,1152,51600,4020,428194000
124,1,500,5,8,8,4,4,400,1,1,1,1,1,1g,4g,1,0,1,848592792,20989730,88487665,101054870,809803,190775016,7833083,1159087,0,2067404292,InstrumentationResult,326144,4608,4608,463104,1152,1152,103200,8020,455994000
125,1,500,5,8,8,4,4,500,1,1,1,1,1,1g,4g,1,0,1,803016861,22266124,89864860,98119318,787756,189180313,8400363,1178868,0,2097684830,InstrumentationResult,326144,4608,4608,463104,1152,1152,129000,10020,469894000
126,1,500,5,8,16,4,4,100,1,1,1,1,1,1g,4g,1,0,1,775750971,23492255,93859601,107830082,674043,202820815,8008593,1278081,0,2226155349,InstrumentationResult,326144,4608,4608,926208,2304,2304,51400,2020,659798000
127,1,500,5,8,16,4,4,200,1,1,1,1,1,1g,4g,1,0,1,757485866,24676008,94599336,103597793,783777,201259676,7733609,1127026,0,2222786391,InstrumentationResult,326144,4608,4608,926208,2304,2304,102800,4020,686498000
128,1,500,5,8,16,4,4,300,1,1,1,1,1,1g,4g,1,0,1,869300340,22054199,99655004,106744113,767996,207594370,8494664,1204739,0,2283040583,InstrumentationResult,326144,4608,4608,926208,2304,2304,154200,6020,713198000
130,1,500,5,8,16,4,4,500,1,1,1,1,1,1g,4g,1,0,1,786364987,21043677,100292434,113526239,809936,215047963,7955272,1331232,0,2341320789,InstrumentationResult,326144,4608,4608,926208,2304,2304,257000,10020,766598000
